Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
39704483,The Intelligent Investor,Benjamin Graham,"Graham, Benjamin",,"=""""","=""""",0,4.25,HarperCollins e-books,Kindle Edition,640,2009,1949,,2022/05/31,to-read,to-read (#287),to-read,,,,0,0
3869,A Brief History of Time,Stephen Hawking,"Hawking, Stephen",,"=""0553380168""","=""9780553380163""",0,4.21,Bantam Books,Paperback,226,1998,1988,,2021/07/19,currently-reading,currently-reading (#4),currently-reading,,,,1,0
42201997,What My Mother and I Don't Talk About: Fifteen Writers Break the Silence,Michele Filgate,"Filgate, Michele",,"=""1982107340""","=""9781982107345""",0,3.82,Simon & Schuster,Hardcover,288,2019,2019,,2022/04/26,to-read,to-read (#286),to-read,,,,0,0
18873041,Carrie,Stephen King,"King, Stephen",,"=""""","=""""",0,3.98,Hodder & Stoughton,Kindle Edition,306,2007,1974,,2021/07/20,currently-reading,currently-reading (#3),currently-reading,,,,1,0
57912066,"The Atlas Paradox (The Atlas, #2)",Olivie Blake,"Blake, Olivie",,"=""""","=""""",1,3.64,Tor Books,Kindle Edition,397,2022,2022,,2022/12/24,to-read,to-read (#285),to-read,,,,1,0
11607,The Running Man,Richard Bachman,"Bachman, Richard",Stephen King,"=""0451197968""","=""9780451197962""",0,3.89,Signet,Paperback,317,1999,1982,,2023/06/04,to-read,to-read (#284),to-read,,,,0,0
6320534,Under the Dome,Stephen King,"King, Stephen",,"=""1439148503""","=""9781439148501""",0,3.92,Scribner,Hardcover,1074,2009,2009,,2023/06/04,to-read,to-read (#283),to-read,,,,0,0
10644930,11/22/63,Stephen King,"King, Stephen",,"=""1451627289""","=""9781451627282""",5,4.33,Scribner,Hardcover,849,2011,2011,2023/06/03,2021/08/06,,,read,,,,1,0
12011554,"The Likeness (Dublin Murder Squad, #2)",Tana French,"French, Tana",,"=""""","=""""",0,4.06,Hodder & Stoughton,Kindle Edition,574,2008,2008,,2021/08/13,currently-reading,currently-reading (#2),currently-reading,,,,1,0
51704136,Little Fires Everywhere,Celeste Ng,"Ng, Celeste",,"=""0143135163""","=""9780143135166""",0,4.08,Penguin Books,Paperback,368,2020,2017,,2021/07/19,to-read,to-read (#16),to-read,,,,0,0
40591670,I Will Teach You to Be Rich: No Guilt. No Excuses. No BS. Just a 6-Week Program That Works,Ramit Sethi,"Sethi, Ramit",,"=""1523505745""","=""9781523505746""",0,4.15,Workman Publishing Company,Paperback,352,2019,2009,,2023/05/17,to-read,to-read (#282),to-read,,,,0,0
41881472,The Psychology of Money,Morgan Housel,"Housel, Morgan",,"=""""","=""""",0,4.37,Harriman House,Paperback,252,2020,2020,,2023/05/17,to-read,to-read (#281),to-read,,,,0,0
293617,Living Sober,Anonymous,"Anonymous, Anonymous",,"=""0916856046""","=""9780916856045""",0,4.33,AA World Services,Paperback,87,2002,1975,,2023/05/15,to-read,to-read (#280),to-read,,,,0,0
37754223,The Unexpected Joy of Being Sober,Catherine Gray,"Gray, Catherine",,"=""""","=""""",0,4.34,Aster,Kindle Edition,274,2017,2017,,2023/05/15,to-read,to-read (#279),to-read,,,,0,0
18866080,The Language of Letting Go: Daily Meditations on Codependency (Hazelden Meditation Series),Melody Beattie,"Beattie, Melody",,"=""""","=""""",0,4.35,Hazelden Publishing,Kindle Edition,401,2009,1990,,2023/05/09,currently-reading,currently-reading (#1),currently-reading,,,,1,0
58950736,The Chaos Machine: The Inside Story of How Social Media Rewired Our Minds and Our World,Max Fisher,"Fisher, Max",,"=""031670332X""","=""9780316703321""",0,4.34,"Little, Brown and Company",Hardcover,400,2022,2022,,2023/04/11,to-read,to-read (#278),to-read,,,,0,0
14096,"Wherever You Go, There You Are: Mindfulness Meditation in Everyday Life",Jon Kabat-Zinn,"Kabat-Zinn, Jon",,"=""1401307787""","=""9781401307783""",0,4.12,Hachette Books,Paperback,304,2005,1994,,2022/11/18,to-read,to-read (#277),to-read,,,,0,0
11104933,Willpower: Rediscovering the Greatest Human Strength,Roy F. Baumeister,"Baumeister, Roy F.",John Tierney,"=""1594203075""","=""9781594203077""",0,3.95,Penguin Press,Hardcover,291,2011,2011,,2023/03/16,to-read,to-read (#276),to-read,,,,0,0
59616977,Building a Second Brain: A Proven Method to Organize Your Digital Life and Unlock Your Creative Potential,Tiago Forte,"Forte, Tiago",,"=""1982167386""","=""9781982167387""",0,4.10,Atria Books,Hardcover,272,2022,2022,,2023/03/16,to-read,to-read (#275),to-read,,,,0,0
58536046,Why Has Nobody Told Me This Before?,Julie      Smith,"Smith, Julie",,"=""0063227932""","=""9780063227934""",0,3.93,HarperOne,Hardcover,368,2022,2022,,2023/03/04,to-read,to-read (#274),to-read,,,,0,0
11505797,"Beautiful Disaster (Beautiful, #1)",Jamie McGuire,"McGuire, Jamie",,"=""""","=""""",0,4.03,Jamie McGuire,Kindle Edition,432,2011,2011,,2023/03/02,to-read,to-read (#273),to-read,,,,0,0
17410290,Stone Maidens,Lloyd Devereux Richards,"Richards, Lloyd Devereux",,"=""""","=""""",0,3.85,Thomas & Mercer,Kindle Edition,343,2012,2012,,2023/02/19,to-read,to-read (#272),to-read,,,,0,0
53345896,People From My Neighbourhood,Hiromi Kawakami,"Kawakami, Hiromi",Ted Goossen,"=""1846276985""","=""9781846276989""",0,3.58,Granta Books,Paperback,121,2020,2020,,2023/02/01,to-read,to-read (#271),to-read,,,,0,0
55987278,"Once Upon a Broken Heart (Once Upon a Broken Heart, #1)",Stephanie Garber,"Garber, Stephanie",,"=""1250268397""","=""9781250268396""",0,4.13,Flatiron Books,Hardcover,416,2021,2021,,2021/12/09,to-read,to-read (#270),to-read,,,,0,0
29632242,Tomie,Junji Ito,"Ito, Junji",,"=""1421590565""","=""9781421590561""",0,4.13,VIZ Media,Hardcover,750,2016,1987,,2021/12/23,to-read,to-read (#269),to-read,,,,0,0
58330567,Atlas of the Heart: Mapping Meaningful Connection and the Language of Human Experience,Brené Brown,"Brown, Brené",Gavin Aung Than,"=""0399592555""","=""9780399592553""",0,4.33,Random House,Hardcover,301,2021,2021,,2022/12/27,to-read,to-read (#268),to-read,,,,0,0
56805404,Call Us What We Carry: Poems,Amanda Gorman,"Gorman, Amanda",,"=""0593465067""","=""9780593465066""",0,4.32,Viking ,Hardcover,228,2021,2021,,2022/12/27,to-read,to-read (#267),to-read,,,,0,0
