Date;Workout Name;Exercise Name;Set Order;Weight;Weight Unit;Reps;RPE;Distance;Distance Unit;Seconds;Notes;Workout Notes;Workout Duration
2023-02-26 11:02:18;"Ease Into It Full Body Workout";"Squat (Smith Machine)";1;45;lbs;12;;;;0;"";"";1h 6m
2023-02-26 11:02:18;"Ease Into It Full Body Workout";"Squat (Smith Machine)";2;55;lbs;10;;;;0;;;1h 6m
2023-02-26 11:02:18;"Ease Into It Full Body Workout";"Squat (Smith Machine)";3;85;lbs;10;;;;0;;;1h 6m
2023-02-26 11:02:18;"Ease Into It Full Body Workout";"Squat (Smith Machine)";4;95;lbs;10;;;;0;;;1h 6m
2023-02-26 11:02:18;"Ease Into It Full Body Workout";"Deficit Reverse Lunges ";1;40;lbs;20;;;;0;"";;1h 6m
2023-02-26 11:02:18;"Ease Into It Full Body Workout";"Deficit Reverse Lunges ";2;40;lbs;20;;;;0;;;1h 6m
2023-02-26 11:02:18;"Ease Into It Full Body Workout";"Deficit Reverse Lunges ";3;40;lbs;20;;;;0;;;1h 6m
2023-02-26 11:02:18;"Ease Into It Full Body Workout";"Deficit Reverse Lunges ";4;40;lbs;20;;;;0;;;1h 6m
2023-02-26 11:02:18;"Ease Into It Full Body Workout";"Lat Pulldown (Machine)";1;25;lbs;12;;;;0;"";;1h 6m
2023-02-26 11:02:18;"Ease Into It Full Body Workout";"Lat Pulldown (Machine)";2;37.5;lbs;12;;;;0;;;1h 6m
2023-02-26 11:02:18;"Ease Into It Full Body Workout";"Lat Pulldown (Machine)";3;50;lbs;12;;;;0;;;1h 6m
2023-02-26 11:02:18;"Ease Into It Full Body Workout";"Lat Pulldown (Machine)";4;50;lbs;12;;;;0;;;1h 6m
2023-02-26 11:02:18;"Ease Into It Full Body Workout";"Straight Arm Pulldowns";1;25;lbs;10;;;;0;"";;1h 6m
2023-02-26 11:02:18;"Ease Into It Full Body Workout";"Straight Arm Pulldowns";2;25;lbs;10;;;;0;;;1h 6m
